id,name,host_nation_id
1,Potchefstroom,1
2,Manchester,2
3,Southampton,2
4,Nottingham,2
5,Bristol,2
6,London,2
7,Birmingham,2
8,Nelson,8
9,Bridgetown,3
10,Auckland,8
11,Jamaica,3
12,Leeds,2
13,Colombo,5
14,Hambantota,5
15,Hobart,7
16,Perth,7
17,Bloemfontein,1
18,Port Elizabeth,1
19,Centurion,1
20,Johannesburg,1
21,Cape Town,1
22,Cardiff,2
23,St Lucia,3
24,North Sound,3
25,Lucknow,11
26,Mumbai,11
27,Bengaluru,11
28,Pune,11
29,Ahmedabad,11
30,Greater Noida,11
31,Barbados,3
32,Brisbane,7
33,Antigua,3
34,Dublin,4
35,Chester-le-Street,2
36,Hamilton,8
37,Wellington,8
38,Napier,8
39,Christchurch,8
40,Kingston,3
41,Durban,1
42,Guyana,3
43,Delhi,11
44,Bulawayo,13
45,Chennai,11
46,Mirpur,11
47,Kandy,5
48,Dominica,3
49,Trinidad,3
50,Benoni,1
51,Dunedin,8
52,Abu Dhabi,9
53,Mount Maunganui,8
54,Paarl,1
55,East London,1
56,Hyderabad,11
57,Chandigarh,11
58,Belfast,4
59,Sydney,7
60,Adelaide,7
61,St Vincent,3
62,Multan,10
63,St Kitts,3
64,Kimberley,1
65,Cairns,7
66,Canberra,7
67,Melbourne,7
68,Port of Spain,3
69,Gros Islet,3
70,Gqeberha,1
71,Thiruvananthapuram,11
72,St George's,3
73,Sharjah,9
74,Faridabad,11
75,Lahore,10
76,Fatullah,14
77,Kochi,11
78,Kolkata,11
79,Ranchi,11
80,Kanpur,11
81,Indore,11
82,Rajkot,11
83,Visakhapatnam,11
84,Cuttack,11
85,Providence,3
86,Karachi,10
87,Edinburgh,12
88,Al Amarat,17
89,Glasgow,12
90,Windhoek,3
91,Grenada,3
92,Jaipur,11
93,Ayr,12
94,Kuala Lumpur,18
95,Bogra,14
96,Taunton,2
97,Nairobi,3
98,Faisalabad,10
99,Darwin,7
100,Vadodara,11
101,Nagpur,11
102,Gwalior,11
103,Harare,13
104,Whangarei,8
105,Dhaka,14
106,Dharamsala,11
107,Townsville,7
108,Khulna,14
109,Queenstown,8
110,Dambulla,5
111,Sylhet,14
112,Kingstown,8
113,Chattogram,14
114,Guwahati,11
115,Dehra Dun,11
116,Canterbury,2
117,Aberdeen,12
118,Bready,12
119,Dubai,9
120,Rawalpindi,10
121,Raipur,11
122,Rotterdam,15
123,Tarouba,3
124,Doha,9
125,Amstelveen,15
126,Kirtipur,16
127,Dundee,12
128,The Hague,15
129,King City,19
130,Peshawar,10
131,Margao,11
132,Jamshedpur,11
133,Sind,10
134,Lincoln,8
135,Deventer,15
136,Hong Kong,20
137,Chelmsford,2
138,Utrecht,15
139,Pearland,6
140,Port Moresby,3
141,Kathmandu,16
142,Pietermaritzburg,1
143,Lauderhill,6
144,Toronto,19
145,Pallekele,5
146,Galle,5
147,Sheikhupura,10
148,Mombasa,3
