id,name,city_id
1,Senwes Park,1
2,Old Trafford,2
3,The Rose Bowl,3
4,Trent Bridge,4
5,County Ground,5
6,Kennington Oval,6
7,Edgbaston,7
8,Saxton Oval,8
9,Queenstown Events Centre,109
10,Eden Park,10
11,"Sabina Park, Kingston",11
12,Headingley,12
13,R Premadasa Stadium,13
14,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",14
15,Bellerive Oval,15
16,Mangaung Oval,17
17,St George's Park,18
18,SuperSport Park,19
19,Newlands,21
20,Sophia Gardens,22
21,Lord's,6
22,"Narendra Modi Stadium, Ahmedabad",29
23,Greater Noida Sports Complex Ground,30
24,"Kensington Oval, Bridgetown",31
25,"Sir Vivian Richards Stadium, North Sound",33
26,The Wanderers Stadium,20
27,Seddon Park,36
28,Westpac Stadium,37
29,McLean Park,38
30,AMI Stadium,39
31,Kingsmead,41
32,Providence Stadium,42
33,Perth Stadium,16
34,Queens Sports Club,44
35,"MA Chidambaram Stadium, Chepauk",45
36,Pallekele International Cricket Stadium,47
37,"Windsor Park, Roseau",48
38,Willowmoore Park,50
39,University Oval,51
40,Sheikh Zayed Stadium,52
41,Riverside Ground,35
42,Hagley Oval,39
43,Bay Oval,53
44,Boland Park,54
45,Buffalo Park,55
46,"Rajiv Gandhi International Stadium, Uppal",56
47,"Civil Service Cricket Club, Stormont",58
48,Sydney Cricket Ground,59
49,Adelaide Oval,60
50,Multan Cricket Stadium,62
51,"Warner Park, Basseterre",63
52,De Beers Diamond Oval,64
54,Manuka Oval,66
55,Clontarf Cricket Club Ground,34
56,Melbourne Cricket Ground,67
57,Queen's Park Oval,68
58,Daren Sammy National Cricket Stadium,69
59,Basin Reserve,37
60,Brabourne Stadium,26
61,Greenfield International Stadium,71
62,Docklands Stadium,67
63,Castle Avenue,34
64,Khan Shaheb Osman Ali Stadium,76
65,Nehru Stadium,77
66,Himachal Pradesh Cricket Association Stadium,106
67,Eden Gardens,78
68,JSCA International Stadium Complex,79
69,Gaddafi Stadium,75
70,Green Park,80
71,Holkar Cricket Stadium,81
72,Wankhede Stadium,26
73,Saurashtra Cricket Association Stadium,82
74,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,83
75,Barabati Stadium,84
76,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,25
77,Galle International Stadium,146
78,National Stadium,86
79,"Grange Cricket Club Ground, Raeburn Place",87
80,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),88
81,M.Chinnaswamy Stadium,27
82,Sharjah Cricket Stadium,73
83,"United Cricket Club Ground, Windhoek",90
84,Narayanganj Osmani Stadium,76
85,Sawai Mansingh Stadium,92
86,"Sardar Patel Stadium, Motera",29
87,Cambusdoon New Ground,93
88,Jade Stadium,39
89,Maharashtra Cricket Association Stadium,28
90,Kinrara Academy Oval,94
91,Shaheed Chandu Stadium,95
92,Madhavrao Scindia Cricket Ground,82
93,The Cooper Associates County Ground,96
94,Gymkhana Club Ground,97
95,Iqbal Stadium,98
96,Marrara Cricket Ground,99
97,Diamond Oval,64
