id,name,city_id
1,Senwes Park,1
2,Old Trafford,2
3,The Rose Bowl,3
4,Trent Bridge,4
5,County Ground,5
6,Kennington Oval,6
7,Edgbaston,7
8,Saxton Oval,8
9,"Kensington Oval, Barbados",9
10,Queenstown Events Centre,112
11,Eden Park,10
12,"Sabina Park, Kingston",11
13,Harare Sports Club,106
14,Headingley,12
15,R Premadasa Stadium,13
16,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",14
17,Pallekele International Cricket Stadium,148
18,Bellerive Oval,15
19,Western Australia Cricket Association Ground,16
20,Mangaung Oval,17
21,St George's Park,18
22,SuperSport Park,19
23,New Wanderers Stadium,20
24,Newlands,21
25,Sophia Gardens,22
26,"Darren Sammy National Cricket Stadium, Gros Islet",23
27,Lord's,6
28,Sir Vivian Richards Stadium,24
29,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",25
30,"Wankhede Stadium, Mumbai",26
31,"M Chinnaswamy Stadium, Bengaluru",27
32,"Maharashtra Cricket Association Stadium, Pune",28
33,"Narendra Modi Stadium, Ahmedabad",29
34,Greater Noida Sports Complex Ground,30
35,"Kensington Oval, Bridgetown",31
36,"Brisbane Cricket Ground, Woolloongabba",32
37,"Sir Vivian Richards Stadium, North Sound",33
38,"SuperSport Park, Centurion",19
39,"The Village, Malahide, Dublin",34
40,The Wanderers Stadium,20
41,"Riverside Ground, Chester-le-Street",35
42,"Old Trafford, Manchester",2
43,Melbourne Cricket Ground,67
44,"Kensington Oval, Bridgetown, Barbados",9
45,"R.Premadasa Stadium, Khettarama",13
46,Seddon Park,36
47,Westpac Stadium,37
48,McLean Park,38
49,AMI Stadium,39
50,"Headingley, Leeds",12
51,"Sabina Park, Kingston, Jamaica",40
52,Kingsmead,41
53,Sydney Cricket Ground,59
54,Adelaide Oval,60
55,Providence Stadium,42
56,"Beausejour Stadium, Gros Islet",23
57,Perth Stadium,16
58,Feroz Shah Kotla,43
59,Queens Sports Club,44
60,"MA Chidambaram Stadium, Chepauk",45
61,Shere Bangla National Stadium,46
62,Pallekele International Cricket Stadium,47
63,"Windsor Park, Roseau",48
64,"Queen''s Park Oval, Port of Spain",49
65,"R Premadasa Stadium, Colombo",13
66,Willowmoore Park,50
67,University Oval,51
68,Sheikh Zayed Stadium,52
69,Riverside Ground,35
70,Hagley Oval,39
71,Bay Oval,53
72,Boland Park,54
73,Chevrolet Park,17
74,Buffalo Park,55
75,"Rajiv Gandhi International Stadium, Uppal",56
76,"Punjab Cricket Association Stadium, Mohali",57
77,Dubai International Cricket Stadium,122
78,"Civil Service Cricket Club, Stormont",58
79,Sydney Cricket Ground,59
80,Adelaide Oval,60
81,"Arnos Vale Ground, Kingstown",61
82,Multan Cricket Stadium,62
83,"Warner Park, Basseterre",63
84,De Beers Diamond Oval,64
85,"Cazaly''s Stadium, Cairns",65
86,Manuka Oval,66
87,Clontarf Cricket Club Ground,34
88,Melbourne Cricket Ground,67
89,Rangiri Dambulla International Stadium,113
90,Queen's Park Oval,68
91,Daren Sammy National Cricket Stadium,69
